Modelo,Fold,Accuracy_epoch,BalancedAccuracy_epoch,Precision_epoch,Recall_epoch,F1_epoch
logistic_regression,1,0.672289156626506,0.6693871302053891,0.6735621796076002,0.672289156626506,0.672785408431868
rbf_svc,1,0.7783132530120482,0.7740248728094969,0.7779043833700487,0.7783132530120482,0.7780358436152885
knn,1,0.8120481927710843,0.8116991709063501,0.8133760171576357,0.8120481927710843,0.8124096724641318
random_forest,1,0.8313253012048193,0.830671754286791,0.8321850402029525,0.8313253012048193,0.8315807249281674
xgboost,1,0.7975903614457831,0.7947286602600339,0.7975903614457831,0.7975903614457831,0.7975903614457831
logistic_regression,2,0.717391304347826,0.7253457749147404,0.732771970082857,0.717391304347826,0.7180000228412192
rbf_svc,2,0.7415458937198067,0.7504499810534293,0.7585819083403623,0.7415458937198067,0.7419999120918257
knn,2,0.6521739130434783,0.6458412277377794,0.6514038733822958,0.6521739130434783,0.6517279821627648
random_forest,2,0.7270531400966184,0.7315981432360743,0.7361311445383153,0.7270531400966184,0.7280254698774445
xgboost,2,0.6884057971014492,0.6941549829480864,0.7001824943104017,0.6884057971014492,0.689361490276822
logistic_regression,3,0.6932367149758454,0.6866237211064797,0.6921795726962181,0.6932367149758454,0.6925087891090465
rbf_svc,3,0.782608695652174,0.7722859037514209,0.783408434232251,0.782608695652174,0.780281749192906
knn,3,0.748792270531401,0.7356006062902615,0.7501507831942614,0.748792270531401,0.744789349074653
random_forest,3,0.7946859903381642,0.7783251231527094,0.8043242118872226,0.7946859903381642,0.7892803613077072
xgboost,3,0.782608695652174,0.7681413414172036,0.787792986222938,0.782608695652174,0.7781666080410288
logistic_regression,4,0.7838479809976246,0.7900437384898711,0.7944656782783954,0.7838479809976246,0.7849112425995678
rbf_svc,4,0.7814726840855107,0.7798112338858195,0.7830596823143305,0.7814726840855107,0.7819832151488014
knn,4,0.7505938242280285,0.7452578268876611,0.7504299955428961,0.7505938242280285,0.7505076442904197
random_forest,4,0.8574821852731591,0.8471569981583793,0.8594152429310997,0.8574821852731591,0.8559942151194022
xgboost,4,0.8646080760095012,0.8568024861878453,0.8651307760032724,0.8646080760095012,0.8637331303824559
logistic_regression,5,0.5759036144578313,0.5615832665188889,0.5702144485277016,0.5759036144578313,0.5707980138188777
rbf_svc,5,0.6843373493975904,0.6677710701315851,0.6834748083242059,0.6843373493975904,0.6775865441965884
knn,5,0.7228915662650602,0.6990991840777249,0.7367276713116448,0.7228915662650602,0.7097315816940077
random_forest,5,0.7325301204819277,0.7245201150780549,0.7313426313132455,0.7325301204819277,0.7312065240782196
xgboost,5,0.7590361445783133,0.753537235296892,0.7583813763994739,0.7590361445783133,0.758548444321743
